Country,Country_Code,Fertility_2010,Migration_Rate_2010,GDP_Growth_2010,Life_Expectancy_2010,Population_Change_Percent,Score_V1,Score_V2,Predicted_Group,Actual_Group
Afghanistan,AFG,6.195,-5.920643228070737,11.0550305527288,60.702,33.84246174589537,2.8655801624134645,3.8833980151165752,Stable,High Growth
Africa Eastern and Southern,AFE,5.06649694569372,-0.7788864180267999,2.3699849053211,58.8272792062821,27.463605247487816,2.820422782341207,2.735658706839928,Moderate Growth,High Growth
Africa Western and Central,AFW,5.71289596656524,-0.8522353561509665,4.09023808244575,54.603353213388,27.17302368352995,3.7470183047639916,3.880643417073136,Moderate Growth,High Growth
Albania,ALB,1.653,-17.818958394052085,3.48564808644622,78.414,-2.0195528971469825,-3.4466131121454624,-3.389741770700057,Low Growth,Declining
Algeria,DZA,2.875,-0.2981079265648649,2.77921908194712,74.144,19.637072113711206,-0.41540522539214464,-0.44821629732042245,Moderate Growth,High Growth
American Samoa,ASM,3.292,-22.832621134207287,0.84468159199173,72.587,-9.087781560078222,-2.139221097813608,-2.417625130614273,Stable,Declining
Andorra,AND,1.275,-76.74770153396278,1.88988084312282,84.197,-5.243724134512924,-10.106046147401642,-10.251760283976617,Low Growth,Declining
Angola,AGO,6.194,5.25515860282273,0.45432400635525,57.242,38.98207863763733,4.356638770332969,4.0286781506203235,High Growth,High Growth
Antigua and Barbuda,ATG,1.785,3.4106891701828412,-9.0794536101368,76.701,7.0839193624003745,-1.0937875504446497,-2.632078125141608,Low Growth,Low Growth
Arab World,ARB,3.57186073483879,0.4296906508416375,2.76677365953439,69.8073221012027,22.200155803362236,0.6364427112207808,0.602051670873426,High Growth,High Growth
Argentina,ARG,2.411,-0.12117118550661835,8.96819672899282,75.68,8.924406763749902,-0.8928876992726807,-0.13999709676815986,Stable,Moderate Growth
Armenia,ARM,1.5,-9.855819758276406,2.91158696816194,73.1731707317073,-2.7029689963215975,-2.161642208256809,-2.177648942575343,Declining,Declining
Aruba,ABW,1.855,4.919578153537972,-2.95695264975568,74.297,7.232074471218995,-0.6176401530079894,-1.378668386390122,Stable,Low Growth
Australia,AUS,1.928,7.568713334165466,0.642043486475501,81.6951219512195,14.992345138266366,-1.1790761840836552,-1.4832054832995238,Low Growth,Moderate Growth
Austria,AUT,1.44,2.6986619323902086,1.56453337880819,80.5804878048781,6.175906365398587,-1.8520276342065372,-2.039045207643414,Low Growth,Low Growth
Azerbaijan,AZE,1.92,0.151640120994017,3.54945565734815,70.309,10.712562782102534,-0.5687405373428092,-0.5037687117531335,Stable,Moderate Growth
"Bahamas, The",BHS,1.837,5.164935043730509,0.248837037553542,73.449,7.400987269986231,-0.506479853041327,-0.8605274074092775,Stable,Low Growth
Bahrain,BHR,1.987,-15.73327103731819,0.0771669589062469,78.593,20.77363185496967,-3.038690422340151,-3.4145317972606084,Low Growth,High Growth
Bangladesh,BGD,2.38,-7.317427754110506,4.65046297355514,68.009,8.35145108919443,-0.7126953301901209,-0.5079486756641136,Stable,Moderate Growth
Barbados,BRB,1.785,-0.13079351700134065,-2.61559986287267,75.488,2.1668125983222097,-1.2954645127396982,-2.013157405210669,Low Growth,Low Growth
Belarus,BLR,1.494,1.0860584261473942,7.98573282581962,70.4048780487805,-0.6756548721424538,-0.7778753056177821,-0.14971023579658627,Stable,Stable
Belgium,BEL,1.86,9.658223063908633,1.77618341639121,80.1829268292683,5.446187107329519,-0.8446959007649891,-1.0048441270485242,Low Growth,Low Growth
Belize,BLZ,2.552,5.117956564505301,-1.29537328094713,70.875,20.4793205202267,0.2755245540450758,-0.27456323541752625,Moderate Growth,High Growth
Benin,BEN,5.452,0.40285852980214104,-0.888244805144353,58.387,29.898196312441033,3.248109812747913,2.7497077044091083,High Growth,High Growth
Bermuda,BMU,1.767,-3.1541781090623773,-2.74767294578886,79.414,0.5994507650058847,-2.062124976662966,-2.7965847809427533,Low Growth,Stable
Bhutan,BTN,2.252,-1.314079175408191,10.7124208428696,68.765,9.006430721517834,-0.30496005311158164,0.6693628900822335,Stable,Moderate Growth
Bolivia,BOL,3.213,-1.2364538816942463,2.42845713052706,66.003,14.623753172771107,0.6779014655606272,0.600560542617358,Moderate Growth,Moderate Growth
Bosnia and Herzegovina,BIH,1.26,-17.638329758161678,2.67372248880544,76.827,-12.224647065490709,-3.509109815766137,-3.5553138670531204,Low Growth,Declining
Botswana,BWA,3.135,2.533555718305592,7.82114700196456,59.137,14.70514890726576,1.7970839546687265,2.4043545626311773,Moderate Growth,Moderate Growth
Brazil,BRA,1.786,-1.3502137090230009,6.62782994932327,73.779,7.100357787350688,-1.2126772896627929,-0.7569003951793416,Declining,Low Growth
Brunei Darussalam,BRN,1.937,6.318628100690232,0.808737710775503,74.82,12.83300877827962,-0.4875469222511871,-0.7705140944373503,Stable,Moderate Growth
Bulgaria,BGR,1.57,-2.929850577350124,2.22607879962553,73.5121951219512,-10.531574251118807,-1.4811787278768198,-1.5842119383878346,Declining,Declining
Burkina Faso,BFA,5.936,-2.5997592309534485,5.31934915891263,56.343,29.58275641612913,3.524264092285578,3.813927032798046,Stable,High Growth
Burundi,BDI,6.26,1.2632720890776932,0.316683987792786,57.088,30.703452182938435,4.031643820198433,3.6862095563363186,High Growth,High Growth
Cabo Verde,CPV,2.329,-9.943427020071246,1.10867941118087,72.507,0.8474177298620593,-1.530243048170487,-1.775132090222635,Stable,Stable
Cambodia,KHM,2.859,-3.4330005270080957,3.45435117133705,67.311,13.658474754988129,0.07114196606231937,0.12404010870039123,Stable,Moderate Growth
Cameroon,CMR,5.154,-0.47620340505263714,0.0001364214844272,56.965,29.68278121499084,3.127677107432891,2.7420565693474686,Moderate Growth,High Growth
Canada,CAN,1.65,6.627349570083452,1.95144744690714,81.3221951219512,10.623429427044751,-1.4151293100375666,-1.5530274572131344,Low Growth,Moderate Growth
Caribbean small states,CSS,2.07173708976326,-3.855909003231229,1.24927617855994,71.0114366987074,6.4648296865696135,-0.9376739796083988,-1.1647140130117104,Declining,Low Growth
Cayman Islands,CYM,1.694,18.077968169467088,-5.37886645271013,76.069,24.451468603855893,0.343568891251654,-0.7249255891965937,Low Growth,High Growth
Central African Republic,CAF,5.963,-9.598497216222142,5.47038096593693,46.871,10.053605668379333,3.9743116997363375,4.283148395663523,Stable,Moderate Growth
Central Europe and the Baltics,CEB,1.46183448121757,-0.9950542056748171,1.90713006032762,75.2939657786314,-2.448896345977661,-1.5756264693979043,-1.7191507872962952,Low Growth,Declining
Chad,TCD,6.99,0.846857785637854,9.92359181592764,50.107,35.513676058826036,5.305132557749055,6.179312258770175,High Growth,High Growth
Channel Islands,CHI,1.58,4.677816934705997,-4.28117501896055,81.2,4.4243826479469925,-1.6376065387318475,-2.566747147394942,Low Growth,Low Growth
Chile,CHL,1.844,1.516052415556672,4.79363748014636,79.095,11.735204869619958,-1.5188246872109508,-1.2959017754773399,Low Growth,Moderate Growth
China,CHN,1.687,-0.1376566582318224,10.0634243207535,75.668,5.2358330125102315,-1.3836606180752904,-0.4917289328901533,Low Growth,Low Growth
Colombia,COL,2.01,-0.7642261922827492,3.31434936742798,74.876,11.458180423888264,-1.1327150276909177,-1.0975903620353449,Declining,Moderate Growth
Comoros,COM,4.755,-5.851846874637314,2.73828086409912,62.747,20.118319701421424,1.6565217340819525,1.6185134828866237,Stable,High Growth
"Congo, Dem. Rep.",COD,6.587,0.12868449615666097,3.74773143955383,56.411,35.564940981757545,4.222452136726406,4.312595424060307,High Growth,High Growth
"Congo, Rep.",COG,4.851,2.7604660387379574,5.47046970435608,61.731,25.8694750901443,2.6774485093313274,2.9862964707580004,High Growth,High Growth
Costa Rica,CRI,1.827,0.5173440867153853,4.06134325895124,79.354,9.736494729323905,-1.6577593078794601,-1.5278024445924967,Low Growth,Moderate Growth
Cote d'Ivoire,CIV,5.292,-8.123820346481567,4.5193074547668,55.282,25.36876338626734,2.675779605774542,2.863875834882986,Stable,High Growth
Croatia,HRV,1.46,-0.9300588742399766,-1.11003223418777,76.4756097560976,-8.055939490998218,-1.7092342505986413,-2.235792665892398,Low Growth,Declining
Cuba,CUB,1.673,-3.020250041403299,2.36597236588088,77.876,-0.8370326328806897,-1.9323077475123123,-2.017581222002682,Low Growth,Stable
Curacao,CUW,2.2,1.6274049615676887,-1.17626862745298,75.117,5.876142377759695,-0.7999218240677015,-1.3348890668067646,Stable,Low Growth
Cyprus,CYP,1.434,10.456492903097669,-0.357614019094044,80.632,14.085187654723821,-1.1085080078455003,-1.5395455980228383,Low Growth,Moderate Growth
Czechia,CZE,1.51,3.33450762381843,2.41582948883936,77.4243902439025,1.8851658470500965,-1.3724248309082574,-1.4513688553303143,Low Growth,Stable
Denmark,DNK,1.87,3.1604185026433558,1.13266938250023,79.1,4.808115387991708,-1.3420528415894497,-1.5838963142907028,Low Growth,Low Growth
Dominica,DMA,1.887,-2.9916205579517565,-0.0983573113798997,71.68,-1.421745886521733,-1.0573534054642248,-1.4554778973924243,Declining,Stable
Dominican Republic,DOM,2.556,-3.725697352643919,7.02231182986095,72.039,10.935324472323558,-0.7174854915525815,-0.2116284236143422,Stable,Moderate Growth
Early-demographic dividend,EAR,2.82072261952737,-0.7833782133169188,4.86894975635562,67.8244434669729,13.07369944876009,0.24234348663962274,0.47482742523381805,Moderate Growth,Moderate Growth
East Asia & Pacific,EAS,1.86033578165821,0.12117372256164671,6.86651758671388,74.6299790050688,6.554518626083798,-1.119241994341866,-0.6331632815195278,Stable,Low Growth
East Asia & Pacific (IDA & IBRD countries),TEA,1.91380463770064,-0.09807643881792392,9.08122097933945,73.8065980873172,7.063288272422897,-1.0076779979201294,-0.24043876664147668,Declining,Low Growth
East Asia & Pacific (excluding high income),EAP,1.91349993221803,-0.09805978293601042,9.08581842606037,73.7616390609633,7.027136845977701,-1.0026064198948876,-0.23478353461185075,Declining,Low Growth
Ecuador,ECU,2.615,-0.5525083580983763,2.2990259381485,75.188,15.012083218503792,-0.7388185648329263,-0.8325910069018482,Moderate Growth,High Growth
"Egypt, Arab Rep.",EGY,3.296,-2.1761047952873978,3.14977851168294,69.078,20.580599109790395,0.28197557168515147,0.2962076757100582,Stable,High Growth
El Salvador,SLV,2.239,-9.012154906629574,1.81801613607789,70.909,2.538936685030558,-1.313216185899737,-1.4680536743234267,Stable,Low Growth
Equatorial Guinea,GNQ,5.209,18.524327529150565,-13.0151718370352,58.344,40.45900839721298,4.848901701753502,2.810964727065769,High Growth,High Growth
Eritrea,ERI,4.571,-4.536555585962992,0.205918877679608,63.665,10.016616947113018,1.5518801188149847,1.1923840280328462,Stable,Moderate Growth
Estonia,EST,1.72,-2.839707842805911,2.68366165094633,75.4292682926829,-0.3437541072870313,-1.5957716417472296,-1.6407138987958247,Low Growth,Stable
Eswatini,SWZ,3.375,-10.195655107272973,3.18713606361428,48.331,6.13718346601898,1.9913349005455174,2.0103096119571506,Stable,Low Growth
Ethiopia,ETH,5.282,0.8859544569065934,9.40434487750386,59.709,27.83220961634073,3.0246975695651708,3.8329579520444934,High Growth,High Growth
Euro area,EMU,1.57511738680375,1.6626432197900636,1.86200696939038,80.6989426195589,1.6110709165898824,-1.8750180686838456,-2.0242708429003646,Low Growth,Stable
Europe & Central Asia,ECS,1.72571098484824,1.1893865910252357,2.2513095526689,75.9954040762695,3.50488445402066,-1.2669396284869687,-1.3667697502095082,Low Growth,Low Growth
Europe & Central Asia (IDA & IBRD countries),TEC,1.81007603093137,-0.029356345872877394,4.27612457915083,71.4358973425353,4.353444046740423,-0.7930610083542282,-0.6358372760395087,Declining,Low Growth
Europe & Central Asia (excluding high income),ECA,2.04838130370044,-1.2696472119598217,6.19709314851646,71.9125911481178,8.151282510824123,-0.8080188392033641,-0.4069247445188889,Declining,Moderate Growth
European Union,EUU,1.5634616186116,1.4856398261243324,2.02278193173282,79.6354307923887,1.090764648357248,-1.7752962840494426,-1.904138392026179,Low Growth,Stable
Faroe Islands,FRO,2.5146,-16.030581416856773,-0.105466831279102,80.6390243902439,6.445115810674723,-2.9501957078927585,-3.3492227659647997,Stable,Low Growth
Fiji,FJI,2.696,-11.372785497666458,2.59506233236995,66.778,0.49208111869370036,-0.7480594861714647,-0.8042495836436386,Stable,Stable
Finland,FIN,1.87,2.6252239271261706,2.69737665062684,79.8707317073171,2.950654739797052,-1.4844977486010702,-1.5276988621477225,Low Growth,Low Growth
Fragile and conflict affected situations,FCS,4.8959233094296,-0.7791824233353657,4.42616907320441,59.3431607628088,22.95550878636055,2.644269677022568,2.8205418236216073,Moderate Growth,High Growth
France,FRA,2.03,0.8095812317897471,1.49872466177408,81.6634146341463,3.622923685342823,-1.7628527589275476,-1.958224865554677,Low Growth,Low Growth
French Polynesia,PYF,2.165,-10.780545494862887,-2.86221244709949,81.141,3.1243994382437728,-2.735983473304943,-3.4849842701526095,Stable,Low Growth
Gabon,GAB,4.153,10.043729820528073,3.45835073677657,64.715,31.852647773477088,2.561810729119894,2.6152166236746877,High Growth,High Growth
"Gambia, The",GMB,5.558,-1.2747647446577703,2.87350950500529,61.167,27.520281527849143,2.830700105544798,2.809859369834352,Moderate Growth,High Growth
Georgia,GEO,1.973,-9.667533297506136,7.02428366897674,71.732,-1.7570467122385087,-1.6537111755182599,-1.1476037791116784,Declining,Stable
Germany,DEU,1.39,1.5911088860880447,4.30644105826545,79.9878048780488,1.6092949441853588,-1.9239424122151068,-1.7628699491791453,Low Growth,Stable
Ghana,GHA,4.181,-0.14626106894230992,5.30617508163762,61.297,22.704420550426015,1.992020934493567,2.280011402561572,Moderate Growth,High Growth
Greece,GRC,1.48,0.1799243454543836,-5.81520524166056,80.3878048780488,-3.5945215599449742,-2.0469918947038024,-3.170880357268302,Low Growth,Declining
Greenland,GRL,2.195,-0.8136696501220504,1.35611976495977,70.0807317073171,-0.54657374323416,-0.44938633304576775,-0.6628623839104085,Stable,Stable
